Asset Class,Alternative Investments Blended generic/Other,Alternative Investments Capital leasing,Alternative Investments Direct lending,Alternative Investments Growth Focused,Alternative Investments Income Generating,Alternative Investments Private Equity,Alternative Investments Reinsurance,Alternative Investments Structured credit,Bond Proxy,Cash,Commodities,Core Fixed Income Inflation-Protected,Core Fixed Income Liquidity Management,Core Fixed Income Tax Exempt Munis,Core Fixed Income Taxable Corporate,Core Fixed Income Taxable US Government,Equity International Developed,Equity International Emerging,Equity US Dividend Income,Equity US Large Cap,Equity US Mid/Small Cap,Opportunistic Income Bank Loans,Opportunistic Income Diversified,Opportunistic Income Global High Yield Bonds,Opportunistic Income High Yield (Muni),Opportunistic Income Preferred Stock,Opportunistic Income US High Yield Bonds,Real Estate
Commodities,0.07469973665235458,0.02210991695483515,0.17506214081240107,0.04127479524289676,0.14442250464876788,0.10992015906904028,0.018097567003906957,0.16001938096438048,0.19099700967308716,0.028869839247475087,1.0,0.06133282708416758,0.09358078325127221,0.017907714170408474,0.02273432298279149,0.14009933127333318,0.10895130720329403,0.16871614336118412,0.16361961799740665,0.13656978328007613,0.10117477270141759,0.05748729326002941,0.011113766356960843,0.12720248970844342,0.1577588252988483,0.14379305221203095,0.19250094433305945,0.07105782554501197
Core Fixed Income Inflation-Protected,0.07266096101210048,0.09682011279608782,0.1309571250549125,0.05018550940571958,0.032247081076424676,-0.15709856084529478,0.02752396103366504,0.17635233719598764,0.15145554094252903,0.168532947834238,0.06133282708416758,1.0,0.8469643613658374,0.780436643649138,0.8064010628844996,0.7177228947910519,-0.16547304940131768,-0.17320624103710547,-0.13628151958007023,-0.1319332162108243,-0.1617341216021671,0.18058056427262423,0.09389827330347701,0.18604262958101725,0.16363633055139967,0.005820303853414445,0.09593265132285114,0.013344527742012486
Core Fixed Income Liquidity Management,0.14392493095731318,0.1441810797382866,0.16093890399107885,0.0176421485643148,0.11043848457636427,-0.13816289449877023,0.1938218573431259,0.1430688515626416,0.03908321104263457,0.12521184952953957,0.09358078325127221,0.8469643613658374,1.0,0.7944874728240879,0.8610098275088149,0.8046235541801103,-0.1771067860617811,-0.18317395225353753,-0.10727820868030288,-0.10079337642167008,-0.1427749486770869,0.18066305078580405,0.04736195129411552,0.006147636912282755,0.03157674641621337,0.1735084683815117,0.10810926735876432,0.1701095440107953
Core Fixed Income Tax Exempt Munis,0.05606337010110581,0.02748493029627196,0.12343663763371936,0.035763533669799806,0.10835735518110125,-0.14918524045817333,0.023354286023120546,0.030844662868524258,0.06727946835505515,0.07879670570245423,0.017907714170408474,0.7804366436491381,0.7944874728240878,1.0,0.7419717611684,0.8332189781986054,-0.19215583801161792,-0.10345233452462371,-0.16793940754390999,-0.14193187498988336,-0.16853506205337368,0.09298895556072498,0.12418949472803034,0.1308221364526118,0.15612406544103277,0.07688333120449185,0.07975465504814994,0.169145126461756
Core Fixed Income Taxable Corporate,0.14279445772572982,0.18508046792874966,0.10617166178804935,0.12373794518217794,0.16415864050064227,-0.13332781150824954,0.07855504753220406,0.16997282621850343,0.06037751102844584,0.07030718674634168,0.02273432298279149,0.8064010628844998,0.8610098275088149,0.7419717611683999,1.0,0.7092687294450258,-0.17428698533871048,-0.15525228816498846,-0.10324851141644208,-0.1151346764357396,-0.13664446771048686,0.0914962242904285,0.05448856923176989,0.12987062613228106,0.00468989471701664,0.12528944909902717,0.16313522250367923,0.1934762409933816
Core Fixed Income Taxable US Government,0.03726827843436341,0.08984996697765564,0.04459394447066732,0.03420997509785842,0.10031208782204659,-0.18174958407988134,0.12197479818974179,0.0666305817129674,0.18024330468851837,0.15948671995207242,0.14009933127333318,0.7177228947910519,0.8046235541801102,0.8332189781986054,0.7092687294450258,1.0,-0.19190677651137264,-0.16770190085793993,-0.1181223462139114,-0.17058306617242067,-0.14178028001650553,0.06972753236815842,0.17065240743721147,0.1852770190375241,0.052912565738971996,0.05300009018218346,0.08314056742611851,0.1670937509898088
Equity International Developed,0.1645542955049923,0.16371380453612083,0.0839177264288786,0.06456353891074651,0.1025758580036443,0.6887249832083253,0.12329388978723306,0.19612762572820752,0.1757544392161274,0.07163587545777245,0.10895130720329403,-0.16547304940131768,-0.1771067860617811,-0.19215583801161792,-0.1742869853387105,-0.19190677651137264,1.0,0.7778624499555354,0.6731897653230112,0.628821203519753,0.6962595997565286,0.15592758045235217,0.14943408910528047,0.16270958894467977,0.13305375250604023,0.11655564260623016,0.07597995883329624,0.15031653508906215
Equity International Emerging,0.03722694924295914,0.037019930049376856,0.15409358437800325,0.1319576716068357,0.04423769085078209,0.663453464032823,0.012178071144504012,0.06390015083656823,0.14391704199900088,0.17575342562443047,0.16871614336118412,-0.17320624103710547,-0.18317395225353753,-0.10345233452462371,-0.15525228816498846,-0.1677019008579399,0.7778624499555354,1.0,0.7035768566718802,0.7279320669603109,0.6268311150497093,0.07188720500640476,0.06499994314008245,0.18868157511009098,0.07874421294164055,0.19020065478281026,0.08228365523847438,0.11294966702536575
Equity US Dividend Income,0.09563102605125041,0.09152359523187323,0.11285150901990189,0.06721400922672258,0.020140826695344692,0.5855226431339551,0.11836627540095283,0.13380139567532254,0.04331071053721107,0.041247790390224456,0.16361961799740665,-0.13628151958007023,-0.1072782086803029,-0.16793940754390999,-0.10324851141644208,-0.1181223462139114,0.6731897653230113,0.7035768566718801,1.0,0.6513727150285034,0.7220265633496102,0.06955421954721377,0.09111653758188495,0.16531068110630223,0.17558354161606818,0.19829377366740072,0.09018613666797845,0.04759149907766769
Equity US Large Cap,0.18843870651071432,0.026586581875130365,0.13545198725005542,0.18667989804807097,0.09366905569559959,0.6950401740664529,0.17245817253196208,0.022843550724839817,0.17588248486388858,0.1228650872614756,0.13656978328007613,-0.1319332162108243,-0.10079337642167008,-0.14193187498988336,-0.1151346764357396,-0.17058306617242067,0.6288212035197529,0.7279320669603109,0.6513727150285032,1.0,0.7293689376218905,0.18959159515137033,0.04488124358401379,0.06851143961556486,0.0325181536868612,0.0350161357499392,0.1586618967249354,0.10760587688961236
Equity US Mid/Small Cap,0.13803673175961648,0.1757653309038097,0.008818380357808301,0.09401331069766987,0.1769669652890595,0.6836993321212728,0.11183083207230832,0.08261045213447665,0.06427156618965317,0.12149311670505934,0.10117477270141757,-0.1617341216021671,-0.1427749486770869,-0.16853506205337365,-0.13664446771048686,-0.1417802800165055,0.6962595997565287,0.6268311150497093,0.7220265633496102,0.7293689376218905,1.0,0.030150374057172177,0.1295550182154055,0.15812020082745812,0.09366917533259615,0.06396688492722553,0.10542245951754146,-0.0019542069602142813
Opportunistic Income Bank Loans,0.06301850313126464,0.01683634145506819,0.009367949105100732,0.18235210257507067,0.051083064091541924,0.12529541746639608,0.18621369161216483,0.14391102071357123,0.175387802325493,0.05687361215493407,0.05748729326002941,0.18058056427262423,0.18066305078580405,0.09298895556072498,0.0914962242904285,0.06972753236815843,0.1559275804523522,0.07188720500640476,0.06955421954721379,0.18959159515137033,0.030150374057172177,1.0,0.06569069031708605,0.04517277402409889,0.16214316672495285,0.1689870446496724,0.02079719508352635,0.10817252117891896
Opportunistic Income Diversified,0.19020937579325983,0.16511494182588446,0.17427379180613345,0.18347094143392023,0.1546374783976692,0.12136552764967248,0.02925224967508373,0.14290590625927077,0.13238535023528447,0.03747756106391784,0.011113766356960843,0.09389827330347701,0.04736195129411552,0.12418949472803034,0.054488569231769896,0.17065240743721147,0.14943408910528047,0.06499994314008245,0.09111653758188495,0.04488124358401378,0.1295550182154055,0.06569069031708605,1.0,0.020819916809663545,0.08590830051194485,0.08018130360799133,0.13540884591071584,0.05295360157424424
Opportunistic Income Global High Yield Bonds,0.054939576800381085,0.03999530090057208,0.1596460048173597,0.02555998876897648,0.19282325300428418,0.02144853387326239,0.14577563381624675,0.09353214729022688,0.10079486951435943,0.03248448509768799,0.12720248970844342,0.18604262958101725,0.006147636912282756,0.1308221364526118,0.12987062613228104,0.1852770190375241,0.16270958894467977,0.18868157511009098,0.16531068110630223,0.06851143961556486,0.15812020082745812,0.04517277402409889,0.020819916809663545,1.0,0.060507461883743646,0.07991651854109894,0.16789888988529966,0.11257906348411326
Opportunistic Income High Yield (Muni),0.14503693415764904,0.05495013001687406,0.1109980584280638,0.021257868698100323,0.008645127201262235,0.0856317291206392,0.09689912891526828,0.09764334641152511,0.1746880910810699,0.0028276508393089202,0.1577588252988483,0.16363633055139967,0.03157674641621337,0.15612406544103277,0.00468989471701664,0.052912565738971996,0.13305375250604023,0.07874421294164055,0.17558354161606815,0.0325181536868612,0.09366917533259617,0.16214316672495285,0.08590830051194487,0.060507461883743646,1.0,0.04817528155105979,0.051032524846248026,0.061977925065840454
Opportunistic Income Preferred Stock,0.08782184224212332,0.05623586148403495,0.013909573244936156,0.13003035670784185,0.15896217161337467,0.11891478908514196,0.13247075853969348,0.01454553134986754,0.18580512316413542,0.15716649470491123,0.14379305221203093,0.005820303853414446,0.1735084683815117,0.07688333120449184,0.1252894490990272,0.053000090182183456,0.11655564260623016,0.19020065478281026,0.19829377366740072,0.0350161357499392,0.06396688492722552,0.1689870446496724,0.08018130360799132,0.07991651854109894,0.04817528155105979,1.0,0.14117154754192252,0.15683082657840597
Opportunistic Income US High Yield Bonds,0.026469451404093652,0.035761508183441086,0.15149896925663964,0.07356565115313653,0.111182548104739,0.07282295921718979,0.10589725451865982,0.1731116677941147,0.07310430695281468,0.046742919178955164,0.19250094433305945,0.09593265132285114,0.1081092673587643,0.07975465504814994,0.16313522250367923,0.08314056742611851,0.07597995883329624,0.08228365523847438,0.09018613666797845,0.15866189672493541,0.10542245951754148,0.02079719508352635,0.13540884591071584,0.16789888988529966,0.051032524846248026,0.14117154754192252,1.0,0.10722207925382767
Real Estate,0.042611275598437255,0.0887348779070473,0.14375222251684971,0.040159949760774485,0.02722780774543883,0.02286612370286774,0.18958717009719744,0.1863269011631359,0.06671551820573599,0.06297120471867519,0.07105782554501199,0.013344527742012485,0.1701095440107953,0.169145126461756,0.1934762409933816,0.1670937509898088,0.15031653508906215,0.11294966702536577,0.04759149907766769,0.10760587688961236,-0.0019542069602142818,0.10817252117891896,0.05295360157424424,0.11257906348411326,0.061977925065840454,0.15683082657840597,0.10722207925382767,1.0
